edge_probability,fraction,no_edges,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,min_uncertainty,max_uncertainty,centrality_metric,mean_se_value,min_se_value,max_se_value
0.05,0.0,1604,0.0,0.0,0.0,0.0,0.0,degree_centrality,0.0,0.0,0.0
0.05,0.0,1604,0.0,0.0,0.0,0.0,0.0,closeness_centrality,0.0,0.0,0.0
0.05,0.0,1604,0.0,0.0,0.0,0.0,0.0,betweenness_centrality,8.378982507378806e-36,0.0,1.925929944387236e-34
0.05,0.0,1604,0.0,0.0,0.0,0.0,0.0,eigenvector_centrality,1.356336163334711e-34,0.0,1.7333369499485123e-33
0.05,0.05,3080,3070.0427247793355,21.378426936147726,4.657235636505191,9.672425341971495,35.87124193519546,degree_centrality,0.0024031870453702343,0.0002580603538652602,0.007112788503411235
0.05,0.05,3080,3070.0427247793355,21.378426936147726,4.657235636505191,9.672425341971495,35.87124193519546,closeness_centrality,0.009155402674714345,0.003113452439799451,0.01950263737958207
0.05,0.05,3080,3070.0427247793355,21.378426936147726,4.657235636505191,9.672425341971495,35.87124193519546,betweenness_centrality,8.103634306627034e-06,4.2065860311272027e-13,7.484594484839435e-05
0.05,0.05,3080,3070.0427247793355,21.378426936147726,4.657235636505191,9.672425341971495,35.87124193519546,eigenvector_centrality,0.0001434282662179554,2.5289533771968344e-09,0.001154095621575338
0.05,0.1,4556,4257.611089481757,30.587354497697312,5.532763948287635,12.413627929024173,50.31708631935556,degree_centrality,0.009319591619490005,0.002725762487701811,0.022080289027596324
0.05,0.1,4556,4257.611089481757,30.587354497697312,5.532763948287635,12.413627929024173,50.31708631935556,closeness_centrality,0.016583149281241744,0.008486454303643734,0.03734126224605699
0.05,0.1,4556,4257.611089481757,30.587354497697312,5.532763948287635,12.413627929024173,50.31708631935556,betweenness_centrality,1.2715860155918012e-05,2.892957230927818e-11,0.0001512980900114294
0.05,0.1,4556,4257.611089481757,30.587354497697312,5.532763948287635,12.413627929024173,50.31708631935556,eigenvector_centrality,0.00021504675863987665,5.271779584133531e-10,0.0018039024406344916
0.05,0.15,6032,5033.561721526615,36.68687337211629,6.605167726654615,13.792586968947914,60.38319486180385,degree_centrality,0.02074598796793599,0.00780632570442412,0.041950936275221354
0.05,0.15,6032,5033.561721526615,36.68687337211629,6.605167726654615,13.792586968947914,60.38319486180385,closeness_centrality,0.020682404171433598,0.010761737307715404,0.04350268955506088
0.05,0.15,6032,5033.561721526615,36.68687337211629,6.605167726654615,13.792586968947914,60.38319486180385,betweenness_centrality,1.4574041000430301e-05,1.6527490607987364e-13,0.0001741263096163335
0.05,0.15,6032,5033.561721526615,36.68687337211629,6.605167726654615,13.792586968947914,60.38319486180385,eigenvector_centrality,0.0002448881889285176,4.000467733873769e-10,0.0022448425067472574
0.05,0.2,7508,5612.3669662789935,41.28072409963575,7.557655618866031,15.135308481812089,67.1366760964471,degree_centrality,0.036648183093821035,0.014515894904920884,0.06814406219254529
0.05,0.2,7508,5612.3669662789935,41.28072409963575,7.557655618866031,15.135308481812089,67.1366760964471,closeness_centrality,0.025210434035717155,0.012939083953098151,0.05230284835641556
0.05,0.2,7508,5612.3669662789935,41.28072409963575,7.557655618866031,15.135308481812089,67.1366760964471,betweenness_centrality,1.593270251239441e-05,2.011677856860318e-09,0.00017639554586792517
0.05,0.2,7508,5612.3669662789935,41.28072409963575,7.557655618866031,15.135308481812089,67.1366760964471,eigenvector_centrality,0.00025847831769609575,1.0590801794823125e-12,0.002952851593174257
0.05,0.25,8984,6074.508988595114,44.94880340674897,8.298143360996468,15.924534179105857,71.45021315562691,degree_centrality,0.0570024354445896,0.027112465927968902,0.10065966677956807
0.05,0.25,8984,6074.508988595114,44.94880340674897,8.298143360996468,15.924534179105857,71.45021315562691,closeness_centrality,0.030463545361878636,0.0158084716732408,0.05992041223805764
0.05,0.25,8984,6074.508988595114,44.94880340674897,8.298143360996468,15.924534179105857,71.45021315562691,betweenness_centrality,1.737210990155985e-05,3.107048625820931e-10,0.00018660950366396995
0.05,0.25,8984,6074.508988595114,44.94880340674897,8.298143360996468,15.924534179105857,71.45021315562691,eigenvector_centrality,0.000266586755904836,2.1058833485656945e-08,0.0032849363420180445
