graph_size,fraction,no_edges,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,min_uncertainty,max_uncertainty,centrality_metric,mean_se_value,min_se_value,max_se_value
50,0.0,250,0.0,0.0,0.0,0.0,0.0,degree_centrality,0.0,0.0,0.0
50,0.0,250,0.0,0.0,0.0,0.0,0.0,closeness_centrality,0.0,0.0,0.0
50,0.0,250,0.0,0.0,0.0,0.0,0.0,betweenness_centrality,2.3415847468379967e-35,0.0,1.925929944387236e-34
50,0.0,250,0.0,0.0,0.0,0.0,0.0,eigenvector_centrality,3.235562306570556e-34,0.0,3.0814879110195774e-33
50,0.05,299,188.40312042778348,5.5549918917536845,3.3808990973054933,0.0,13.064742764750257,degree_centrality,0.0023157017909204497,0.0,0.010412328196584757
50,0.05,299,188.40312042778348,5.5549918917536845,3.3808990973054933,0.0,13.064742764750257,closeness_centrality,0.0019825624454569424,2.6570305027101523e-05,0.007038393019961005
50,0.05,299,188.40312042778348,5.5549918917536845,3.3808990973054933,0.0,13.064742764750257,betweenness_centrality,4.46548072027966e-05,5.511255357741859e-07,0.00041502926035069665
50,0.05,299,188.40312042778348,5.5549918917536845,3.3808990973054933,0.0,13.064742764750257,eigenvector_centrality,0.00035514318990226073,6.855275410845603e-07,0.002407880060229848
50,0.1,348,294.0608150828701,9.605329656547836,3.003509312821637,3.5849625007211565,16.242280950302444,degree_centrality,0.007396917950853814,0.0004164931278633912,0.02040816326530612
50,0.1,348,294.0608150828701,9.605329656547836,3.003509312821637,3.5849625007211565,16.242280950302444,closeness_centrality,0.004354750360562126,0.0007724805182729748,0.009322235434007129
50,0.1,348,294.0608150828701,9.605329656547836,3.003509312821637,3.5849625007211565,16.242280950302444,betweenness_centrality,6.213991805018353e-05,1.3134992852011796e-07,0.0005244439639153306
50,0.1,348,294.0608150828701,9.605329656547836,3.003509312821637,3.5849625007211565,16.242280950302444,eigenvector_centrality,0.0003450745892457759,1.1791679750183685e-07,0.002326546291642429
50,0.15,396,371.4748898575541,12.45997481220096,3.3378837790585374,5.169925001442312,19.42814749561378,degree_centrality,0.016126613910870474,0.0016659725114535602,0.05039566847147022
50,0.15,396,371.4748898575541,12.45997481220096,3.3378837790585374,5.169925001442312,19.42814749561378,closeness_centrality,0.006757938191616412,0.0010739735443055748,0.01586263917584941
50,0.15,396,371.4748898575541,12.45997481220096,3.3378837790585374,5.169925001442312,19.42814749561378,betweenness_centrality,8.817489142073852e-05,8.925828714046043e-08,0.0011050231836354132
50,0.15,396,371.4748898575541,12.45997481220096,3.3378837790585374,5.169925001442312,19.42814749561378,eigenvector_centrality,0.000498522688286011,8.709389630234151e-08,0.0026446554203274778
50,0.2,445,435.3695947908851,14.972974175755969,3.065280249551148,7.366322214245815,22.310163422583265,degree_centrality,0.02733860891295294,0.0037484381507705104,0.07038733860891296
50,0.2,445,435.3695947908851,14.972974175755969,3.065280249551148,7.366322214245815,22.310163422583265,closeness_centrality,0.009769299106494789,0.002208922719228944,0.020425173611111118
50,0.2,445,435.3695947908851,14.972974175755969,3.065280249551148,7.366322214245815,22.310163422583265,betweenness_centrality,0.00010430454470263865,7.693479269843839e-09,0.0012704233097974157
50,0.2,445,435.3695947908851,14.972974175755969,3.065280249551148,7.366322214245815,22.310163422583265,eigenvector_centrality,0.000501855232377274,6.880790234933858e-07,0.002832001044209815
50,0.25,494,489.14687535995324,16.966015303130565,2.9414320556805444,7.366322214245815,23.636207625942863,degree_centrality,0.042182423990004166,0.0037484381507705104,0.10662224073302788
50,0.25,494,489.14687535995324,16.966015303130565,2.9414320556805444,7.366322214245815,23.636207625942863,closeness_centrality,0.013105118207928493,0.0038363408976139417,0.026731213473511338
50,0.25,494,489.14687535995324,16.966015303130565,2.9414320556805444,7.366322214245815,23.636207625942863,betweenness_centrality,0.000134997874863615,1.2539581446247163e-11,0.00152647081840165
50,0.25,494,489.14687535995324,16.966015303130565,2.9414320556805444,7.366322214245815,23.636207625942863,eigenvector_centrality,0.0006371486112360731,1.601089633147139e-08,0.003809297627516587
50,0.3,542,534.7867892800705,18.740792336120414,2.766912147831327,11.552188759557149,25.629118201156544,degree_centrality,0.05965847563515201,0.014993752603082049,0.12036651395251978
50,0.3,542,534.7867892800705,18.740792336120414,2.766912147831327,11.552188759557149,25.629118201156544,closeness_centrality,0.016939876264595016,0.004023997035069346,0.03631141975308643
50,0.3,542,534.7867892800705,18.740792336120414,2.766912147831327,11.552188759557149,25.629118201156544,betweenness_centrality,0.00014707620645904897,1.882301034795012e-07,0.0017928711421602015
50,0.3,542,534.7867892800705,18.740792336120414,2.766912147831327,11.552188759557149,25.629118201156544,eigenvector_centrality,0.0007534238251040207,1.6571821407579043e-08,0.003943151559773939
50,0.35,591,575.939691213584,20.35441212405041,2.6163989792181575,14.569262272916092,26.366083795322748,degree_centrality,0.08049979175343606,0.03373594335693461,0.15035401915868388
50,0.35,591,575.939691213584,20.35441212405041,2.6163989792181575,14.569262272916092,26.366083795322748,closeness_centrality,0.021698141671258952,0.007729690826675223,0.044099999999999986
50,0.35,591,575.939691213584,20.35441212405041,2.6163989792181575,14.569262272916092,26.366083795322748,betweenness_centrality,0.00016218414990832572,1.82390565404933e-08,0.0018236920555584255
50,0.35,591,575.939691213584,20.35441212405041,2.6163989792181575,14.569262272916092,26.366083795322748,eigenvector_centrality,0.0007876418613183879,9.091621919301956e-07,0.0036900777971458467
50,0.4,640,612.7771445682512,21.8235501197466,2.757613742641809,16.205755074277327,27.750424497378678,degree_centrality,0.1044731361932528,0.05039566847147021,0.18367346938775514
