m,fraction,no_edges,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,min_uncertainty,max_uncertainty,centrality_metric,mean_se_value,min_se_value,max_se_value
5,0.0,1225,0.0,0.0,0.0,0.0,0.0,degree_centrality,0.0,0.0,0.0
5,0.0,1225,0.0,0.0,0.0,0.0,0.0,closeness_centrality,0.0,0.0,0.0
5,0.0,1225,0.0,0.0,0.0,0.0,0.0,betweenness_centrality,2.5635893152309044e-34,0.0,4.930380657631324e-32
5,0.0,1225,0.0,0.0,0.0,0.0,0.0,eigenvector_centrality,1.1603366803068524e-33,0.0,7.703719777548943e-32
5,0.05,2720,2694.6115151383674,17.093740051619985,6.162436334417728,6.977279923499917,43.90061367883324,degree_centrality,0.002473379461621586,0.00025806035386525996,0.007112788503411235
5,0.05,2720,2694.6115151383674,17.093740051619985,6.162436334417728,6.977279923499917,43.90061367883324,closeness_centrality,0.008585665255795911,0.0002763577903515541,0.023073992610613638
5,0.05,2720,2694.6115151383674,17.093740051619985,6.162436334417728,6.977279923499917,43.90061367883324,betweenness_centrality,0.00012270406487248996,3.594946971775307e-09,0.010186938848414102
5,0.05,2720,2694.6115151383674,17.093740051619985,6.162436334417728,6.977279923499917,43.90061367883324,eigenvector_centrality,0.0004462024868970477,1.7218432330632222e-07,0.010466421632249586
5,0.1,4215,3658.8699518037092,24.171655843761876,9.871412391417731,13.064742764750257,64.3316764207938,degree_centrality,0.009589780809986924,0.0027257624877018104,0.024531862389316293
5,0.1,4215,3658.8699518037092,24.171655843761876,9.871412391417731,13.064742764750257,64.3316764207938,closeness_centrality,0.01880998527895353,0.0008840030358752041,0.038353956228208995
5,0.1,4215,3658.8699518037092,24.171655843761876,9.871412391417731,13.064742764750257,64.3316764207938,betweenness_centrality,0.00018722912706706373,1.2246938097599572e-09,0.016038908033177243
5,0.1,4215,3658.8699518037092,24.171655843761876,9.871412391417731,13.064742764750257,64.3316764207938,eigenvector_centrality,0.0008585297641139572,1.6416235799976106e-08,0.025174506609588136
5,0.15,5710,4276.584257535986,28.73890189511724,12.30897257439017,16.857628731655943,86.8293539633758,degree_centrality,0.02130546281511589,0.007112788503411235,0.054257189400170956
5,0.15,5710,4276.584257535986,28.73890189511724,12.30897257439017,16.857628731655943,86.8293539633758,closeness_centrality,0.023707669482650975,0.002471890595815077,0.04382306449972608
5,0.15,5710,4276.584257535986,28.73890189511724,12.30897257439017,16.857628731655943,86.8293539633758,betweenness_centrality,0.00021536329426397334,3.3893058668025544e-11,0.017883865996622714
5,0.15,5710,4276.584257535986,28.73890189511724,12.30897257439017,16.857628731655943,86.8293539633758,eigenvector_centrality,0.001114439957604579,6.771953306466559e-07,0.033655253192171886
5,0.2,7205,4732.785345206854,32.13514431878563,14.317878427689408,20.050603300015084,98.03455313620238,degree_centrality,0.037599522588345306,0.01756423283495427,0.08130514023967352
5,0.2,7205,4732.785345206854,32.13514431878563,14.317878427689408,20.050603300015084,98.03455313620238,closeness_centrality,0.028489111572343486,0.003725034452224421,0.05299600409761839
5,0.2,7205,4732.785345206854,32.13514431878563,14.317878427689408,20.050603300015084,98.03455313620238,betweenness_centrality,0.00023144986182073175,8.461158610724354e-10,0.01929278131292205
5,0.2,7205,4732.785345206854,32.13514431878563,14.317878427689408,20.050603300015084,98.03455313620238,eigenvector_centrality,0.0012756263904383873,6.740945457775704e-09,0.04177254495244605
5,0.25,8700,5094.830679633958,34.871054995246496,16.08327412085888,21.730142134755397,113.31636742526179,degree_centrality,0.058466798922598096,0.03122530281769648,0.11380461605457971
5,0.25,8700,5094.830679633958,34.871054995246496,16.08327412085888,21.730142134755397,113.31636742526179,closeness_centrality,0.034008982093779484,0.006345777940204787,0.06534590219693713
5,0.25,8700,5094.830679633958,34.871054995246496,16.08327412085888,21.730142134755397,113.31636742526179,betweenness_centrality,0.00024075770210165565,9.602296860265064e-10,0.019911813441627062
5,0.25,8700,5094.830679633958,34.871054995246496,16.08327412085888,21.730142134755397,113.31636742526179,eigenvector_centrality,0.0013903337169458726,1.6477731265132147e-07,0.046382848157362246
5,0.3,10195,5395.06866767317,37.12279186807164,17.510060520788503,22.86221357144968,124.22654011469425,degree_centrality,0.08398535507491818,0.04361219980322897,0.15175561684488956
5,0.3,10195,5395.06866767317,37.12279186807164,17.510060520788503,22.86221357144968,124.22654011469425,closeness_centrality,0.04040385900627144,0.009163654800552284,0.07499337333836806
5,0.3,10195,5395.06866767317,37.12279186807164,17.510060520788503,22.86221357144968,124.22654011469425,betweenness_centrality,0.0002476969362097134,1.8519041603266939e-10,0.020392610281306376
5,0.3,10195,5395.06866767317,37.12279186807164,17.510060520788503,22.86221357144968,124.22654011469425,eigenvector_centrality,0.001486554582383658,3.416311309339374e-09,0.05049344094994573
5,0.35,11690,5651.578683661997,39.03701042096705,18.71351081173564,23.941342466792413,130.87316505520835,degree_centrality,0.1141406106353123,0.05806357961968354,0.20231931743036397
5,0.35,11690,5651.578683661997,39.03701042096705,18.71351081173564,23.941342466792413,130.87316505520835,closeness_centrality,0.047806659905638114,0.011423472442623466,0.09201050644085297
5,0.35,11690,5651.578683661997,39.03701042096705,18.71351081173564,23.941342466792413,130.87316505520835,betweenness_centrality,0.00025329850543348066,1.5007637589253253e-10,0.020812464705482862
5,0.35,11690,5651.578683661997,39.03701042096705,18.71351081173564,23.941342466792413,130.87316505520835,eigenvector_centrality,0.0015702018774204633,7.819085944648099e-08,0.054550356837059256
5,0.4,13185,5875.503980819438,40.753291835958464,19.907186570130115,24.87979636090724,139.08678477578258,degree_centrality,0.1488551474976212,0.07903098337123592,0.2322543184787341
5,0.4,13185,5875.503980819438,40.753291835958464,19.907186570130115,24.87979636090724,139.08678477578258,closeness_centrality,0.05631289245279455,0.014909360126366695,0.09846355505705996
5,0.4,13185,5875.503980819438,40.753291835958464,19.907186570130115,24.87979636090724,139.08678477578258,betweenness_centrality,0.00025757024997314905,1.6363187421865457e-11,0.02112728431153026
5,0.4,13185,5875.503980819438,40.753291835958464,19.907186570130115,24.87979636090724,139.08678477578258,eigenvector_centrality,0.00161639321205404,1.3494153661654614e-10,0.05689973104928267
5,0.45,14680,6074.2030205371775,42.303930163980375,21.092435366043173,25.788069271763806,146.66803935579824,degree_centrality,0.18813412686892167,0.09812744955726521,0.27257624877018105
5,0.45,14680,6074.2030205371775,42.303930163980375,21.092435366043173,25.788069271763806,146.66803935579824,closeness_centrality,0.06612928318309842,0.019139051987205922,0.10758103441315715
5,0.45,14680,6074.2030205371775,42.303930163980375,21.092435366043173,25.788069271763806,146.66803935579824,betweenness_centrality,0.0002607275660719529,6.1769853316968975e-12,0.02133028453141914
5,0.45,14680,6074.2030205371775,42.303930163980375,21.092435366043173,25.788069271763806,146.66803935579824,eigenvector_centrality,0.0016521387438787809,1.763861810636858e-07,0.059160357655444036
5,0.5,16175,6252.791356706672,43.68823478746351,22.129472048619476,26.59464096391661,154.55635732608567,degree_centrality,0.2320944500895148,0.1165303785422816,0.32522056095869406
5,0.5,16175,6252.791356706672,43.68823478746351,22.129472048619476,26.59464096391661,154.55635732608567,closeness_centrality,0.07747092447219828,0.024003825693431874,0.1192457337408323
5,0.5,16175,6252.791356706672,43.68823478746351,22.129472048619476,26.59464096391661,154.55635732608567,betweenness_centrality,0.0002637290404977084,3.082323588149532e-10,0.021511939608959713
5,0.5,16175,6252.791356706672,43.68823478746351,22.129472048619476,26.59464096391661,154.55635732608567,eigenvector_centrality,0.0016813715410390216,3.1980321240724694e-09,0.06051564281721197
5,0.55,17670,6414.970075655564,44.96049059315618,23.148544494825032,27.62706138750727,161.07909942016937,degree_centrality,0.28060966758600625,0.14251383042208998,0.3874937501008048
5,0.55,17670,6414.970075655564,44.96049059315618,23.148544494825032,27.62706138750727,161.07909942016937,closeness_centrality,0.09055819679833196,0.02934314855223432,0.14455345689788204
5,0.55,17670,6414.970075655564,44.96049059315618,23.148544494825032,27.62706138750727,161.07909942016937,betweenness_centrality,0.00026629616141522224,3.636669502856436e-14,0.021651017790297728
5,0.55,17670,6414.970075655564,44.96049059315618,23.148544494825032,27.62706138750727,161.07909942016937,eigenvector_centrality,0.0017026103046346973,3.6832370976372833e-07,0.06204128769414033
5,0.6,19165,6563.503733943624,46.098192786909,23.98424841207518,28.20452159373909,165.70599877978663,degree_centrality,0.33383577684230886,0.17111014338478406,0.46065386042160594
5,0.6,19165,6563.503733943624,46.098192786909,23.98424841207518,28.20452159373909,165.70599877978663,closeness_centrality,0.10576511456959024,0.03452809500191941,0.1634863750173068
5,0.6,19165,6563.503733943624,46.098192786909,23.98424841207518,28.20452159373909,165.70599877978663,betweenness_centrality,0.00026893518333356365,5.283968697792888e-12,0.021788173243805685
5,0.6,19165,6563.503733943624,46.098192786909,23.98424841207518,28.20452159373909,165.70599877978663,eigenvector_centrality,0.0017323712145466878,3.986425404595322e-07,0.06371574210453275
5,0.65,20660,6700.511999543961,47.157744831473984,24.78530263690383,28.9923117363435,172.26871472482122,degree_centrality,0.39157252302382184,0.195158142610603,0.5283947033112368
5,0.65,20660,6700.511999543961,47.157744831473984,24.78530263690383,28.9923117363435,172.26871472482122,closeness_centrality,0.1232590105220762,0.043422539469189524,0.17971554135702833
5,0.65,20660,6700.511999543961,47.157744831473984,24.78530263690383,28.9923117363435,172.26871472482122,betweenness_centrality,0.00027139292474681354,1.188895524042528e-11,0.02189122331522931
5,0.65,20660,6700.511999543961,47.157744831473984,24.78530263690383,28.9923117363435,172.26871472482122,eigenvector_centrality,0.0017485491744929859,2.0615568785235246e-09,0.06452590746708313
5,0.7,22155,6827.655893026791,48.13714601874631,25.511406170955578,29.565920480881054,177.76257097414202,degree_centrality,0.4538286801825773,0.2322543184787341,0.5883937355849097
5,0.7,22155,6827.655893026791,48.13714601874631,25.511406170955578,29.565920480881054,177.76257097414202,closeness_centrality,0.14354362119166947,0.053826390148494566,0.20633875339510255
5,0.7,22155,6827.655893026791,48.13714601874631,25.511406170955578,29.565920480881054,177.76257097414202,betweenness_centrality,0.00027382048989393713,1.1792615474126316e-12,0.021981049972059817
5,0.7,22155,6827.655893026791,48.13714601874631,25.511406170955578,29.565920480881054,177.76257097414202,eigenvector_centrality,0.0017704225704875452,1.596836617778166e-08,0.06549206923900708
5,0.75,23650,6946.261284468451,49.07756590085934,26.304807223526698,30.054440923411107,183.60454522111655,degree_centrality,0.5206516023935094,0.26839889679198714,0.6516185222818985
5,0.75,23650,6946.261284468451,49.07756590085934,26.304807223526698,30.054440923411107,183.60454522111655,closeness_centrality,0.16710158187111432,0.06579261030953028,0.24260600002550756
5,0.75,23650,6946.261284468451,49.07756590085934,26.304807223526698,30.054440923411107,183.60454522111655,betweenness_centrality,0.000276037716668541,4.1769956009181345e-12,0.02205965494133616
5,0.75,23650,6946.261284468451,49.07756590085934,26.304807223526698,30.054440923411107,183.60454522111655,eigenvector_centrality,0.001780560065050441,2.406904183997619e-08,0.06615218285362819
5,0.8,25145,7057.403424007093,49.94647836554895,26.98481557535996,30.631864822344113,188.52760987538804,degree_centrality,0.5921441267076338,0.3027209238560668,0.738633247850841
5,0.8,25145,7057.403424007093,49.94647836554895,26.98481557535996,30.631864822344113,188.52760987538804,closeness_centrality,0.19464048871975395,0.07814871811031322,0.26670910992464025
5,0.8,25145,7057.403424007093,49.94647836554895,26.98481557535996,30.631864822344113,188.52760987538804,betweenness_centrality,0.0002783233830764127,3.854600500065826e-12,0.022135633288336364
5,0.8,25145,7057.403424007093,49.94647836554895,26.98481557535996,30.631864822344113,188.52760987538804,eigenvector_centrality,0.0017959404642129081,1.7434874785898284e-07,0.06689667532169712
5,0.85,26640,7161.966390862149,50.77729173526669,27.734156066920946,31.203182622335937,196.04858608963488,degree_centrality,0.6682548991145301,0.36289737262302213,0.7948904049934676
