rewiring_probability,fraction,no_edges,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,min_uncertainty,max_uncertainty,centrality_metric,mean_se_value,min_se_value,max_se_value
0.1,0.0,1250,0.0,0.0,0.0,0.0,0.0,degree_centrality,0.0,0.0,0.0
0.1,0.0,1250,0.0,0.0,0.0,0.0,0.0,closeness_centrality,0.0,0.0,0.0
0.1,0.0,1250,0.0,0.0,0.0,0.0,0.0,betweenness_centrality,4.1186877024563243e-35,0.0,7.703719777548943e-34
0.1,0.0,1250,0.0,0.0,0.0,0.0,0.0,eigenvector_centrality,2.5364497367579895e-34,0.0,1.7333369499485123e-33
0.1,0.05,2744,2722.2971944287933,18.940693099074668,2.9623688672158166,9.967226258835993,27.52803207604223,degree_centrality,0.002479701940291288,0.00025806035386525996,0.008532120449670163
0.1,0.05,2744,2722.2971944287933,18.940693099074668,2.9623688672158166,9.967226258835993,27.52803207604223,closeness_centrality,0.03665777556371275,0.018147263522214057,0.06970894626894727
0.1,0.05,2744,2722.2971944287933,18.940693099074668,2.9623688672158166,9.967226258835993,27.52803207604223,betweenness_centrality,9.04656432677296e-05,3.188385858119157e-10,0.0013635450711758526
0.1,0.05,2744,2722.2971944287933,18.940693099074668,2.9623688672158166,9.967226258835993,27.52803207604223,eigenvector_centrality,0.000295941146844328,6.132999830832682e-08,0.0033241768843814716
0.1,0.1,4238,3702.1616329202475,26.695539678347455,2.8195817721402485,18.42814749561378,36.01978816426846,degree_centrality,0.009564232834954264,0.00195158142610603,0.022080289027596324
0.1,0.1,4238,3702.1616329202475,26.695539678347455,2.8195817721402485,18.42814749561378,36.01978816426846,closeness_centrality,0.059133442682094015,0.04006060075464963,0.09071483395671096
0.1,0.1,4238,3702.1616329202475,26.695539678347455,2.8195817721402485,18.42814749561378,36.01978816426846,betweenness_centrality,0.00010052336136168146,8.256267175498535e-10,0.0013338288179241369
0.1,0.1,4238,3702.1616329202475,26.695539678347455,2.8195817721402485,18.42814749561378,36.01978816426846,eigenvector_centrality,0.0002806680047935408,8.042530648359988e-09,0.002221263573197426
0.1,0.15,5731,4330.384685216082,31.70387981951697,2.6257342051737838,24.48835478234705,39.022464857021525,degree_centrality,0.02115952968500507,0.008532120449670163,0.043612199803228974
0.1,0.15,5731,4330.384685216082,31.70387981951697,2.6257342051737838,24.48835478234705,39.022464857021525,closeness_centrality,0.0676459206959693,0.04627868665109833,0.09596232482557385
0.1,0.15,5731,4330.384685216082,31.70387981951697,2.6257342051737838,24.48835478234705,39.022464857021525,betweenness_centrality,0.00010323126676106625,1.4286532711741336e-09,0.0013658629695707304
0.1,0.15,5731,4330.384685216082,31.70387981951697,2.6257342051737838,24.48835478234705,39.022464857021525,eigenvector_centrality,0.00025068718778610544,1.4756587023444272e-09,0.001629617937598996
0.1,0.2,7225,4795.00596668592,35.40948063659741,2.6753441934294804,27.789035823808963,43.80455189613942,degree_centrality,0.03738765503782197,0.018644860566765047,0.0660634505895066
0.1,0.2,7225,4795.00596668592,35.40948063659741,2.6753441934294804,27.789035823808963,43.80455189613942,closeness_centrality,0.07566923760781552,0.05060818525295992,0.10744537975149163
0.1,0.2,7225,4795.00596668592,35.40948063659741,2.6753441934294804,27.789035823808963,43.80455189613942,betweenness_centrality,0.00010623385448789153,5.491117890469689e-10,0.0013981426683693987
0.1,0.2,7225,4795.00596668592,35.40948063659741,2.6753441934294804,27.789035823808963,43.80455189613942,eigenvector_centrality,0.00023706516132045687,2.7729245968524047e-09,0.0013927702587179954
0.1,0.25,8719,5163.871330604316,38.350160057435595,2.7288544328361244,29.21052019316033,46.235540625444344,degree_centrality,0.05820912565926361,0.03122530281769648,0.10065966677956804
0.1,0.25,8719,5163.871330604316,38.350160057435595,2.7288544328361244,29.21052019316033,46.235540625444344,closeness_centrality,0.08461420363771208,0.058430687192907914,0.11973135967503333
0.1,0.25,8719,5163.871330604316,38.350160057435595,2.7288544328361244,29.21052019316033,46.235540625444344,betweenness_centrality,0.00010917495492713564,3.395474302147806e-11,0.0013987354746737386
0.1,0.25,8719,5163.871330604316,38.350160057435595,2.7288544328361244,29.21052019316033,46.235540625444344,eigenvector_centrality,0.00024235523441289,1.1917796462871404e-09,0.0015481340622848989
0.1,0.3,10212,5469.653422365328,40.787182963470336,2.931400820506874,31.695285791058428,49.39217657661965,degree_centrality,0.08370006935372011,0.045305720875469746,0.15490072740762242
0.1,0.3,10212,5469.653422365328,40.787182963470336,2.931400820506874,31.695285791058428,49.39217657661965,closeness_centrality,0.09462095173993015,0.06848827372273014,0.1334663800794657
0.1,0.3,10212,5469.653422365328,40.787182963470336,2.931400820506874,31.695285791058428,49.39217657661965,betweenness_centrality,0.0001119384197186961,1.7005144328064549e-10,0.001364177703529682
0.1,0.3,10212,5469.653422365328,40.787182963470336,2.931400820506874,31.695285791058428,49.39217657661965,eigenvector_centrality,0.0002321017109694883,8.170157314104831e-09,0.0018311765614970376
0.1,0.35,11706,5731.133576696041,42.873325499696826,3.015592749948144,33.25291438658747,52.45796836404103,degree_centrality,0.11374087514717503,0.06814406219254526,0.18812599796777468
0.1,0.35,11706,5731.133576696041,42.873325499696826,3.015592749948144,33.25291438658747,52.45796836404103,closeness_centrality,0.10584669238111451,0.07707609173099732,0.1486426250687547
0.1,0.35,11706,5731.133576696041,42.873325499696826,3.015592749948144,33.25291438658747,52.45796836404103,betweenness_centrality,0.00011499699725309213,1.1342562752513196e-10,0.0013841744655271756
