fraction,number_of_edges,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,min_uncertainty,max_uncertainty,mean_degree_centrality,mean_closeness_centrality
0.0,19600,0.0,0.0,0.0,0.0,0.0,0.03923923923923924,0.46365211971280595
0.01,24399,17444.230143661232,29.632063626683106,8.730655470363603,5.285402218862249,75.02540594483312,0.04884684684684685,0.4869069043540569
0.02,29198,26668.06172812603,46.464129727245286,12.260303962033582,23.09134757066518,116.70586122214807,0.058454454454454456,0.5035881143056796
0.03,33997,33412.50498311012,58.82589163400577,15.896481748367558,34.01978816426846,141.6172957760092,0.06806206206206206,0.5133969342711263
0.04,38796,38785.01772401672,68.67921536933818,19.22543497760905,43.236534022463765,157.72068478291635,0.07766966966966966,0.5190232991291337
0.05,43595,43266.81818950694,76.91280095822451,22.232153005850467,49.471414465746854,172.49640659889764,0.08727727727727727,0.522606745279508
0.06,48394,47118.253194372206,84.12789992883204,25.474744549838586,53.58258601454036,188.11955767987305,0.09688488488488488,0.525509153575703
0.07,53193,50498.082575287845,90.3965690446398,28.190186911235116,57.381147033154996,215.41080372802745,0.10649249249249249,0.5282362946717718
0.08,57992,53510.93675529228,96.00502671532907,30.757956009343623,59.03102042366251,228.90480157385193,0.11610010010010009,0.5309414551020123
0.09,62791,56229.68684632812,101.14507217214899,33.351350969552634,61.61654494037865,250.0856088246325,0.1257077077077077,0.5336667574538703
0.1,67590,58707.24003468357,105.81251311299603,35.73258043038968,65.46658612536112,260.1316105729059,0.13531531531531532,0.5364175636739612
0.11,72389,60983.28208976254,110.10093748022861,37.9468090087528,68.53882204270687,275.5363521045566,0.14492292292292291,0.5391969788747406
0.12,77188,63088.375673458315,114.05609034471877,39.9146033428127,73.57440395545316,288.40255994254557,0.15453053053053054,0.5420040910391272
0.13,81987,65046.575315500224,117.77041500486702,41.9073146654471,75.67001890767419,299.0171533892577,0.16413813813813813,0.544841131235794
0.14,86786,66877.16308554089,121.24513060019576,43.74470493276015,78.24348576955752,310.95806592506864,0.17374574574574575,0.5477074901486374
0.15,91585,68595.83903644196,124.51646061533901,45.61073157247752,80.32530266716704,322.4593650382547,0.18335335335335334,0.550604703823744
0.16,96384,70215.5606506607,127.58837117093648,47.28871097639882,82.19742581316369,335.10918108813985,0.19296096096096096,0.5535316809273381
