k,fraction,no_edges,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,min_uncertainty,max_uncertainty,centrality_metric,mean_se_value,min_se_value,max_se_value
10,0.0,1250,0.0,0.0,0.0,0.0,0.0,degree_centrality,0.0,0.0,0.0
10,0.0,1250,0.0,0.0,0.0,0.0,0.0,closeness_centrality,0.0,0.0,0.0
10,0.0,1250,0.0,0.0,0.0,0.0,0.0,betweenness_centrality,2.1100828893870553e-35,0.0,5.085658759397545e-34
10,0.0,1250,0.0,0.0,0.0,0.0,0.0,eigenvector_centrality,1.321187941849644e-34,0.0,1.2037062152420224e-33
10,0.05,2744,2722.2971944287933,18.897780984436327,3.386320940230518,8.159871336778389,29.03053241657141,degree_centrality,0.0024905404751536277,0.00014515894904920882,0.00780632570442412
10,0.05,2744,2722.2971944287933,18.897780984436327,3.386320940230518,8.159871336778389,29.03053241657141,closeness_centrality,0.02122454486898847,0.006771059910052809,0.03733111122241657
10,0.05,2744,2722.2971944287933,18.897780984436327,3.386320940230518,8.159871336778389,29.03053241657141,betweenness_centrality,2.578389782816912e-05,6.842276691933531e-10,0.00019662622010125505
10,0.05,2744,2722.2971944287933,18.897780984436327,3.386320940230518,8.159871336778389,29.03053241657141,eigenvector_centrality,0.000147628702530782,2.4825388676248387e-09,0.0014681433446037267
10,0.1,4238,3702.1616329202475,26.658305901510097,3.36153312990225,16.94272066844354,35.17944483025695,degree_centrality,0.00956410380477733,0.00195158142610603,0.020902888663086077
10,0.1,4238,3702.1616329202475,26.658305901510097,3.36153312990225,16.94272066844354,35.17944483025695,closeness_centrality,0.03769989692879873,0.0261520387943851,0.05453016873217675
10,0.1,4238,3702.1616329202475,26.658305901510097,3.36153312990225,16.94272066844354,35.17944483025695,betweenness_centrality,3.233884017588798e-05,8.213927308230423e-10,0.00027655885415941067
10,0.1,4238,3702.1616329202475,26.658305901510097,3.36153312990225,16.94272066844354,35.17944483025695,eigenvector_centrality,0.00014943396777475983,5.289514661740345e-10,0.0011737701916733516
10,0.15,5731,4330.384685216082,31.64218834314261,3.4073779456266577,21.637600861242728,39.363501774856594,degree_centrality,0.02119230334994596,0.007112788503411232,0.04195093627522137
10,0.15,5731,4330.384685216082,31.64218834314261,3.4073779456266577,21.637600861242728,39.363501774856594,closeness_centrality,0.04439909048951337,0.030710672414721737,0.06381115311909263
10,0.15,5731,4330.384685216082,31.64218834314261,3.4073779456266577,21.637600861242728,39.363501774856594,betweenness_centrality,3.503124958590488e-05,1.1235581629812339e-09,0.00031535175463626316
10,0.15,5731,4330.384685216082,31.64218834314261,3.4073779456266577,21.637600861242728,39.363501774856594,eigenvector_centrality,0.00015246205829499147,3.3030263578576273e-09,0.0017169853078866334
10,0.2,7225,4795.00596668592,35.33847594174427,3.5688057630441987,23.356164603852807,43.97965981869882,degree_centrality,0.037443008983726024,0.012644957339397755,0.07025693133981709
10,0.2,7225,4795.00596668592,35.33847594174427,3.5688057630441987,23.356164603852807,43.97965981869882,closeness_centrality,0.050955971798943824,0.03284166968593275,0.07064211977126857
10,0.2,7225,4795.00596668592,35.33847594174427,3.5688057630441987,23.356164603852807,43.97965981869882,betweenness_centrality,3.7244628252292954e-05,8.098923634859044e-11,0.00031134898297976673
10,0.2,7225,4795.00596668592,35.33847594174427,3.5688057630441987,23.356164603852807,43.97965981869882,eigenvector_centrality,0.00015132351134757724,2.696243896739043e-08,0.0012733637173505195
10,0.25,8719,5163.871330604316,38.28843964771318,3.8854521623242744,26.159894120090364,49.287847736439396,degree_centrality,0.05828693085595399,0.02328994693633973,0.09812744955726517
10,0.25,8719,5163.871330604316,38.28843964771318,3.8854521623242744,26.159894120090364,49.287847736439396,closeness_centrality,0.05834305813080403,0.037387376716561,0.0823206311242377
10,0.25,8719,5163.871330604316,38.28843964771318,3.8854521623242744,26.159894120090364,49.287847736439396,betweenness_centrality,3.896378772354925e-05,8.909831027151247e-10,0.00031014949478760516
10,0.25,8719,5163.871330604316,38.28843964771318,3.8854521623242744,26.159894120090364,49.287847736439396,eigenvector_centrality,0.0001400304384609447,6.380801925868272e-09,0.0011282157333631089
10,0.3,10212,5469.653422365328,40.74125006830216,4.191016189538071,27.585198656567133,53.00502392259781,degree_centrality,0.08368458573248816,0.04878953565265075,0.13064305414428795
10,0.3,10212,5469.653422365328,40.74125006830216,4.191016189538071,27.585198656567133,53.00502392259781,closeness_centrality,0.06669616106076168,0.04634582424808846,0.09112921431424148
10,0.3,10212,5469.653422365328,40.74125006830216,4.191016189538071,27.585198656567133,53.00502392259781,betweenness_centrality,4.0890491348956506e-05,6.769383777053557e-10,0.00031441099220765235
10,0.3,10212,5469.653422365328,40.74125006830216,4.191016189538071,27.585198656567133,53.00502392259781,eigenvector_centrality,0.00012901404593400331,3.793487631760187e-11,0.0009157077286123857
10,0.35,11706,5731.133576696041,42.83293221866961,4.4176736450054825,28.911654949102623,57.153829978222184,degree_centrality,0.11366836018773883,0.07025693133981709,0.16780374510088547
10,0.35,11706,5731.133576696041,42.83293221866961,4.4176736450054825,28.911654949102623,57.153829978222184,closeness_centrality,0.07614311409216011,0.05308956440454559,0.10293753352279478
10,0.35,11706,5731.133576696041,42.83293221866961,4.4176736450054825,28.911654949102623,57.153829978222184,betweenness_centrality,4.270502726762236e-05,6.419233533682248e-10,0.0003080978173791418
10,0.35,11706,5731.133576696041,42.83293221866961,4.4176736450054825,28.911654949102623,57.153829978222184,eigenvector_centrality,0.00012952195529358182,3.157938997432917e-08,0.0008078967184105458
