graph_size,fraction,no_edges,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,min_uncertainty,max_uncertainty,centrality_metric,mean_se_value,min_se_value,max_se_value
50,0.0,600,0.0,0.0,0.0,0.0,0.0,degree_centrality,0.0,0.0,0.0
50,0.0,600,0.0,0.0,0.0,0.0,0.0,closeness_centrality,0.0,0.0,0.0
50,0.0,600,0.0,0.0,0.0,0.0,0.0,betweenness_centrality,1.093403702832613e-35,0.0,1.925929944387236e-34
50,0.0,600,0.0,0.0,0.0,0.0,0.0,eigenvector_centrality,1.1873358107147309e-33,0.0,6.933347799794049e-33
50,0.05,631,174.60240372472484,4.826724514477048,3.7868287790960395,0.0,13.626849764469036,degree_centrality,0.0012161599333610994,0.0,0.01041232819658475
50,0.05,631,174.60240372472484,4.826724514477048,3.7868287790960395,0.0,13.626849764469036,closeness_centrality,0.000215632494133176,0.0,0.0012158639224948804
50,0.05,631,174.60240372472484,4.826724514477048,3.7868287790960395,0.0,13.626849764469036,betweenness_centrality,3.310279770326408e-06,1.68943076956519e-09,3.551587843167922e-05
50,0.05,631,174.60240372472484,4.826724514477048,3.7868287790960395,0.0,13.626849764469036,eigenvector_centrality,4.1348908645441025e-05,3.1658485532466836e-10,0.0006225518554487506
50,0.1,662,292.709808047496,8.880970102049957,4.33754644718094,0.0,17.0382760101955,degree_centrality,0.003615160349854229,0.0,0.020408163265306114
50,0.1,662,292.709808047496,8.880970102049957,4.33754644718094,0.0,17.0382760101955,closeness_centrality,0.0006792292596614932,0.0,0.0024663303506208874
50,0.1,662,292.709808047496,8.880970102049957,4.33754644718094,0.0,17.0382760101955,betweenness_centrality,8.948730205005651e-06,1.9406735759338168e-10,0.00010599129416030527
50,0.1,662,292.709808047496,8.880970102049957,4.33754644718094,0.0,17.0382760101955,eigenvector_centrality,8.493848816612846e-05,2.6667395804679612e-08,0.0010278121079963576
50,0.15,694,392.59961730438243,12.42909384844294,4.423006310162231,0.0,20.573835765655353,degree_centrality,0.007296959600166599,0.0,0.02665556018325698
50,0.15,694,392.59961730438243,12.42909384844294,4.423006310162231,0.0,20.573835765655353,closeness_centrality,0.0014603507876386923,0.0,0.004882546763641456
50,0.15,694,392.59961730438243,12.42909384844294,4.423006310162231,0.0,20.573835765655353,betweenness_centrality,1.695656062474766e-05,1.904244800410301e-09,0.00014773600862883014
50,0.15,694,392.59961730438243,12.42909384844294,4.423006310162231,0.0,20.573835765655353,eigenvector_centrality,0.00012065080217618781,1.2181798219392822e-07,0.0010717849552494083
50,0.2,725,476.14458187208265,15.172148930613485,4.791085276521624,0.0,24.051245125221705,degree_centrality,0.012744689712619748,0.0,0.059975010412328195
50,0.2,725,476.14458187208265,15.172148930613485,4.791085276521624,0.0,24.051245125221705,closeness_centrality,0.002526496390673851,0.0,0.00995592852213244
50,0.2,725,476.14458187208265,15.172148930613485,4.791085276521624,0.0,24.051245125221705,betweenness_centrality,3.0015001776335745e-05,5.724140472645352e-08,0.00024948445982369747
50,0.2,725,476.14458187208265,15.172148930613485,4.791085276521624,0.0,24.051245125221705,eigenvector_centrality,0.00018423413789619644,1.48811234030081e-06,0.00135525192243629
50,0.25,756,550.4387629473439,17.772611119226298,4.389963671059037,9.216745858195306,26.966402079151695,degree_centrality,0.01929196168263224,0.0016659725114535557,0.08163265306122451
50,0.25,756,550.4387629473439,17.772611119226298,4.389963671059037,9.216745858195306,26.966402079151695,closeness_centrality,0.003870895507800374,0.0005727226240046765,0.014348082500895093
50,0.25,756,550.4387629473439,17.772611119226298,4.389963671059037,9.216745858195306,26.966402079151695,betweenness_centrality,4.318661301855243e-05,3.2031968607968355e-08,0.000404506513407462
50,0.25,756,550.4387629473439,17.772611119226298,4.389963671059037,9.216745858195306,26.966402079151695,eigenvector_centrality,0.0002596802648783397,6.117431466612947e-09,0.0014680886533252268
50,0.3,788,619.7158020956975,20.017378739551024,4.86267682490121,9.216745858195306,27.92131418962316,degree_centrality,0.0280216576426489,0.0016659725114535557,0.0937109537692628
50,0.3,788,619.7158020956975,20.017378739551024,4.86267682490121,9.216745858195306,27.92131418962316,closeness_centrality,0.005734347272937873,0.0005727226240046765,0.014348082500895093
50,0.3,788,619.7158020956975,20.017378739551024,4.86267682490121,9.216745858195306,27.92131418962316,betweenness_centrality,5.798936910232715e-05,3.144631271755049e-07,0.0005695221768336697
50,0.3,788,619.7158020956975,20.017378739551024,4.86267682490121,9.216745858195306,27.92131418962316,eigenvector_centrality,0.0003810573225422515,5.5175126283305525e-09,0.002628725954522538
50,0.35,819,681.0935124845695,21.961982130326426,5.453465277079802,9.216745858195306,34.040797858391194,degree_centrality,0.03876718034152436,0.0016659725114535557,0.13494377342773842
50,0.35,819,681.0935124845695,21.961982130326426,5.453465277079802,9.216745858195306,34.040797858391194,closeness_centrality,0.008283078861378272,0.0005727226240046765,0.03349834242362483
50,0.35,819,681.0935124845695,21.961982130326426,5.453465277079802,9.216745858195306,34.040797858391194,betweenness_centrality,7.309506904576805e-05,5.952592655421404e-10,0.0007126559981448786
50,0.35,819,681.0935124845695,21.961982130326426,5.453465277079802,9.216745858195306,34.040797858391194,eigenvector_centrality,0.0005093023412356128,2.9161480122832414e-10,0.0036728100461681443
50,0.4,850,737.8259610397522,24.107812666898663,5.3811866671615105,9.951284714966972,35.040797858391194,degree_centrality,0.04912952936276552,0.0016659725114535557,0.15035401915868388
50,0.4,850,737.8259610397522,24.107812666898663,5.3811866671615105,9.951284714966972,35.040797858391194,closeness_centrality,0.011079645186284036,0.0008275473822480729,0.03857826381099896
