exp_name,sigma_mean,sigma_variance,uncertainty_mean,uncertainty_variance,dc_distance,dc_correlation,dc_mean_change,bc_distance,bc_correlation,bc_mean_change,cc_distance,cc_correlation,cc_mean_change,ec_distance,ec_correlation,ec_mean_change
WS_100_0.1_0.1_0.1, 1.1301656676656677, 0.08691546235080824, 3.8325493835136775, 1.2800838848570715, 0.011515151515151516, 0.25507350735073503, 0.11400000000000035, 0.0017852838992041431, 0.05468946894689468, 0.08602406767544353, 0.021264833764742766, -0.043288328832883284, 0.057074029256772074, 0.0012527373986001853, 0.19488748874887488, 0.0006540207745103828
WS_100_0.1_0.1_0.2, 1.1142909867909867, 0.03293533978162473, 6.562787600009898, 1.6761308685430878, 0.022626262626262626, 0.1692169216921692, 0.22399999999999992, 0.0030928788806388633, 0.1085028502850285, 0.16370901398519183, 0.04256934513833775, 0.05327332733273327, 0.11540287521253877, 0.002388447896803331, 0.15333933393339333, 0.004595403870111484
WS_100_0.1_0.1_0.3, 1.065758130758131, 0.017528260424450354, 8.521728172906199, 1.7397473262420653, 0.03232323232323232, 0.07301530153015301, 0.31999999999999984, 0.0032265903457770273, -0.19545154515451543, 0.17465638618840074, 0.04488521302923727, 0.07495949594959495, 0.12539509389723177, 0.0027491658761168423, 0.11024302430243023, 0.004605108992428216
WS_100_0.1_0.1_0.4, 1.0418127705627704, 0.020805948902938885, 10.195629767834996, 2.261176533608671, 0.04202020202020203, 0.16244824482448245, 0.4160000000000001, 0.00377800743072601, 0.07708370837083708, 0.21487215575885513, 0.058044314593964474, 0.021794179417941793, 0.15750337839665993, 0.003939375147944395, 0.47537953795379534, 0.009753965647686245
WS_100_0.1_0.1_0.5, 1.0206767676767676, 0.00791681369248036, 11.686307238150373, 1.8562383637613222, 0.051515151515151514, 0.05399339933993399, 0.5100000000000007, 0.004147598433312718, 0.1255325532553255, 0.2298903107861062, 0.062097176199111905, 0.04183618361836183, 0.17123242214811643, 0.007489976256206078, 0.3443744374437443, 0.0130277713481739
WS_100_0.1_0.1_0.6, 1.0321155233655233, 0.012085777334303289, 13.175895865887338, 3.184825001632296, 0.062424242424242424, 0.06811881188118811, 0.6180000000000001, 0.004432631049444463, -0.04633663366336633, 0.25177131688248233, 0.07016601872735279, 0.09185718571857185, 0.1854546341146412, 0.0015615299325124666, 0.2728232823282328, 0.00014118012899626088
WS_100_0.1_0.1_0.7, 1.0220351870351871, 0.005762818997642508, 14.402715035205983, 2.2581471261840025, 0.07212121212121214, 0.09044104410441044, 0.7140000000000004, 0.004854477929647716, 0.17906990699069905, 0.28166986564299407, 0.07986069458587298, -0.24433243324332432, 0.21362311770599088, 0.0013537961283161364, 0.028850885088508846, 0.0017043908420595086
WS_100_0.1_0.1_0.8, 1.0277556818181817, 0.005959520742063943, 15.624267737037307, 2.7335540883523652, 0.08282828282828283, 0.0012001200120011998, 0.8200000000000003, 0.004823747680890538, -0.07398739873987398, 0.2911534154535272, 0.08418841557132253, 0.04606060606060605, 0.22040045670963423, 0.0018144027252271681, 0.06889888988898889, 0.0027707042204461636
WS_100_0.1_0.1_0.9, 1.0042592592592592, 0.01298237453094356, 16.447611118315905, 2.7214193841071674, 0.09090909090909091, -0.08296429642964295, 0.9000000000000001, 0.0055349412492269635, -0.006696669666966695, 0.31677678150070804, 0.09222721632654635, 0.124008400840084, 0.24926490977786323, 0.0036424284341355635, 0.15164716471647163, 0.006410390460056574
WS_100_0.1_0.1_1.0, 0.987409090909091, 0.004037543388429752, 17.34446330876675, 4.415760991973163, 0.0995959595959596, 0.08219621962196219, 0.9859999999999999, 0.005842298690408362, -0.05095709570957095, 0.3354265402843601, 0.09911376094321901, -0.02809480948094809, 0.26706635392252853, 0.007326552379729316, 0.2545214521452145, 0.016605269678144068
