exp_name,sigma_mean,sigma_variance,uncertainty_mean,uncertainty_variance,dc_distance,dc_correlation,dc_mean_change,bc_distance,bc_correlation,bc_mean_change,cc_distance,cc_correlation,cc_mean_change,ec_distance,ec_correlation,ec_mean_change
BA_100_0.1_0.1,1.1182489610303608,0.12037869884676168,7.241849124687792,13.427768603913226,0.019393939393939397,0.9884188418841884,0.1066666666666669,0.0006059363111313853,0.9870627062706271,0.03926640018810258,0.009922619521841633,0.9779057905790579,0.018362914403189854,0.0016502086352191577,0.9936633663366337,9.2601086105981e-06
BA_100_0.1_0.2,1.0843309397190908,0.016835321776639517,12.49379168829918,42.39556625128625,0.03878787878787879,0.9966876687668766,0.21333333333333332,0.0008065868192867186,0.9891749174917491,0.07947331295556084,0.02065856029950648,0.9603720372037203,0.038230970525267985,0.0030252354301265687,0.9846384638463846,0.013364924114661315
BA_100_0.1_0.3,1.0828446250774417,0.005144537743605848,16.66284672504049,76.22483824327405,0.058383838383838385,1.0,0.32111111111111135,0.0011439832407981678,0.9855025502550255,0.10956971549494482,0.029260300148741918,0.9523792379237924,0.054149449735554724,0.0035588925972814774,0.9784338433843385,0.0160059543575059
BA_100_0.1_0.4,1.0525466638471135,0.0025085437639578846,19.86633781434478,111.98111643759117,0.07616161616161618,1.0,0.41888888888888914,0.00121649581676042,0.9836423642364236,0.1342581707030333,0.036717165354372076,0.9469666966696669,0.06794921069441283,0.003689412097267026,0.9732853285328533,0.017686474392197195
BA_100_0.1_0.5,1.0245423360685957,0.0016568182058132922,22.429233939976843,135.84497034670022,0.09232323232323232,0.99996399639964,0.5077777777777777,0.0013440527726242015,0.9778697869786979,0.1533035504349871,0.0426604693524531,0.9358535853585359,0.07894795778419793,0.0037077232297968313,0.9716291629162916,0.01700804551811275
BA_100_0.1_0.6,1.0328019930134622,0.0016385818600903148,25.181970194795113,171.55693712200497,0.11171717171717173,0.9999159915991599,0.6144444444444445,0.00155431869717584,0.9790819081908191,0.1772866212085586,0.05046862378603088,0.937089708970897,0.09339781864957415,0.004197370616846226,0.9571077107710771,0.020259791636300196
BA_100_0.1_0.7,1.032497866037492,0.0014572932579834546,27.546826534958583,196.9314815254577,0.1303030303030303,0.9996999699969997,0.7166666666666667,0.0017460317460317467,0.9814221422142214,0.19915353867857974,0.05758745302186863,0.9352535253525353,0.10657200633467787,0.005168588644963945,0.9658205820582059,0.025165435436926953
BA_100_0.1_0.8,1.015663895023155,0.0019001467632645088,29.333284995496296,211.7769698553894,0.14565656565656565,0.9999159915991599,0.8011111111111108,0.0019006390434961867,0.9817941794179418,0.21678814954150025,0.06341769948820519,0.9368856885688569,0.11736152784915066,0.005525786429445213,0.9700930093009301,0.02815732146390791
BA_100_0.1_0.9,1.0101457464354098,0.002230391933944772,31.185069771697666,231.97693412370944,0.16282828282828282,0.99998799879988,0.8955555555555555,0.0020799835085549374,0.9784098409840984,0.2372442981424878,0.07035329108980921,0.9363096309630963,0.13019661384991957,0.006165525359270667,0.969012901290129,0.030641392457003626
BA_100_0.1_1.0,0.9875774599468123,0.002403771129047878,32.55116241304874,247.60262552467543,0.1763636363636364,0.9998439843984398,0.9700000000000001,0.002216037930323646,0.9727932793279328,0.2527627557018576,0.07583733998435453,0.9365496549654966,0.140345458135622,0.006463063459372355,0.9682208220822082,0.032347220895318864
