exp_name,sigma_mean,sigma_variance,uncertainty_mean,uncertainty_variance,dc_distance,dc_correlation,dc_mean_change,bc_distance,bc_correlation,bc_mean_change,cc_distance,cc_correlation,cc_mean_change,ec_distance,ec_correlation,ec_mean_change
ER_100_0.1_0.1,1.2730752825605764,0.22816720620798212,4.2113359965543955,2.585825876669648,0.012727272727272728,0.9859945994599459,0.12000000000000026,0.00091069589704279,0.9821902190219022,0.07145293315143272,0.018446577824399606,0.9743054305430543,0.0401071790303721,0.0022793528880092474,0.986030603060306,0.0038743257543445257
ER_100_0.1_0.2,1.191653163013457,0.03533455456570908,7.212358120870725,5.3100838183389545,0.024848484848484852,0.999027902790279,0.2342857142857145,0.001585631862434679,0.9800180018001801,0.12994542974079132,0.03463229697920168,0.9555955595559555,0.07529872198520172,0.0021300717784290954,0.9847344734473448,0.004006047859155399
ER_100_0.1_0.3,1.155205790941085,0.021314491121843776,9.455897211054554,9.054535878526346,0.03616161616161616,0.9998319831983198,0.34095238095238106,0.0021043940554433243,0.9742934293429343,0.17377216916780383,0.04732864791821783,0.9585958595859586,0.10290356148394053,0.002174838416790231,0.9794899489948995,0.006597813877392972
ER_100_0.1_0.4,1.104456658537541,0.009765922370999477,11.183781737657778,12.35162683636333,0.04626262626262627,0.99998799879988,0.4361904761904762,0.002481452712236503,0.9741374137413741,0.20361527967257853,0.05644035591535959,0.9443504350435044,0.12271454796569659,0.0016741111694156378,0.9853705370537054,0.004291477012897443
ER_100_0.1_0.5,1.0526303500421146,0.004945542029009202,12.60031766658434,16.672891184851935,0.055555555555555566,0.9974677467746774,0.5238095238095244,0.0027172577578227714,0.9706570657065706,0.224761255115962,0.0631035923142122,0.9258685868586859,0.13720198393970034,0.0024471990033607975,0.9758415841584158,0.005624286881092269
ER_100_0.1_0.6,1.070203881086234,0.00405040451066792,14.223423267206321,19.94175473452406,0.06747474747474748,0.99996399639964,0.6361904761904764,0.0030589835653693953,0.971065106510651,0.25221691678035496,0.07193821820416277,0.9436063606360636,0.15641052904804714,0.002625466771109144,0.9751095109510951,0.006150208545430596
ER_100_0.1_0.7,1.059576278063673,0.0037447753463938417,15.540561626293492,24.65428434390858,0.07818181818181819,0.9977197719771977,0.7371428571428575,0.0033057270357626685,0.9636003600360036,0.27336289222373816,0.0789338077753145,0.9295889588958895,0.17162057863144833,0.0025545286081250533,0.9775937593759376,0.0058825505001101576
ER_100_0.1_0.8,1.0456425559734384,0.003482644117156693,16.65592859275102,27.80379907354537,0.08808080808080809,0.9972997299729973,0.8304761904761907,0.003512677798392083,0.9581878187818782,0.29058663028649406,0.08480606741276275,0.9414701470147014,0.1843882459372201,0.00268812645324985,0.9682088208820883,0.007444339469080471
ER_100_0.1_0.9,1.0453968471615531,0.0021991460534678845,17.795491371469524,31.072055394837335,0.09898989898989902,0.9975397539753975,0.9333333333333339,0.0036631483129209606,0.9657725772577258,0.30184174624829485,0.0889159738597712,0.9266726672667267,0.19332414479268245,0.002693631676816969,0.9744854485448545,0.006140049617394368
ER_100_0.1_1.0,0.9981818181818182,0.00032727272727272716,18.475491371469523,35.22559905841668,0.10585858585858587,0.9974797479747974,0.9980952380952388,0.0037952919673646577,0.9650165016501651,0.31309686221009575,0.09285814220812602,0.9233123312331233,0.20189534174967022,0.0019627500678672766,0.97003300330033,0.002730339738573886
