fraction,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,mean_se_degree_centrality,min_se_degree_centrality,max_se_degree_centrality,mean_se_betweenness_centrality,min_se_betweenness_centrality,max_se_betweenness_centrality,mean_se_closeness_centrality,min_se_closeness_centrality,max_se_closeness_centrality,mean_se_eigen_centrality,min_se_eigen_centrality,max_se_eigen_centrality
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8690778450675163e-35,0.0,7.703719777548943e-34,0.0,0.0,0.0,2.058066794165429e-34,0.0,1.232595164407831e-32
0.01,6023.117514126242,9.572913919838145,2.483494433380987,0.00010908405903400945,1.002003004005006e-06,0.0004418833247662076,1.684054115193119e-05,3.1843520061245294e-13,0.0003643617795358695,0.02837272818036423,0.014334011879920313,0.0425836853635223,0.00027262290269316103,1.5821424585951526e-10,0.010650827599430531
0.02,7780.410609938035,13.029590171263644,3.022940548526524,0.00041510178847516376,4.9098147196245295e-05,0.0012985958931904878,1.957217667561684e-05,1.8100103239034817e-11,0.0003761578017358402,0.04714580084912499,0.03282187336897878,0.06867303562625401,0.00027148499313348415,1.9626956147746022e-09,0.010918586026496327
0.03,8863.2165355348,15.188229143087458,3.577743776841547,0.0009192756319883435,0.00019639258878498118,0.002308614921227534,2.1277257347037526e-05,4.2357566281697463e-13,0.0004136899314978225,0.0685954513009618,0.04800497393367597,0.09312625882872193,0.0002641305513273467,1.1260203093529995e-09,0.011445809915275688
0.04,9648.410847020801,16.747151136066755,3.9797695200734005,0.0016218380542704892,0.00048496945393842274,0.0038516995473952425,2.2594905373801748e-05,3.9307652845660144e-11,0.0004217392465985797,0.08933238244293397,0.06574291145013511,0.11403124444771472,0.00026841800483946534,1.2611616340295014e-09,0.011090140686976387
0.05,10264.892480128967,17.9747041177783,4.320965365633331,0.0025227189151113046,0.0007855703551399247,0.0050510971431892366,2.3335564567835142e-05,1.5591755738919194e-12,0.0004273740409795992,0.10365650299059992,0.07789075265899711,0.125816133292816,0.0002678355796062465,1.973285050330436e-10,0.011184004085197515
0.06,10772.519878982237,18.984748881033557,4.598511225938919,0.003623152682211717,0.0013717421124828531,0.006574141709276845,2.3710856018499565e-05,1.0093358826034932e-11,0.00042753441216222983,0.11125526006236244,0.08925890361828083,0.1318969535237828,0.0002689109592194444,2.6477006644112284e-10,0.01128187754545313
0.07,11204.036475911153,19.846594196175797,4.8505743634113925,0.004921486050615176,0.0018527035544052563,0.00885369854338823,2.3888831873832906e-05,1.9754609869439227e-14,0.0004277142528424883,0.11514462060584436,0.09375920782103057,0.13638045261210463,0.0002677784973989033,8.207641233003132e-10,0.011371919059287427
0.08,11579.322300360827,20.60027653198409,5.08449972814975,0.006416414412410416,0.0028146264382500614,0.011047083119155188,2.3971504793244515e-05,6.378607792671723e-11,0.00042539553391999764,0.11756306079520466,0.09750605297633562,0.1392000226726105,0.00026683757060179066,2.4505141514129207e-14,0.011479773840312669
0.09,11911.359325067997,21.26204612962601,5.27977134498412,0.008113765417068743,0.003728453177902627,0.014189364539714892,2.4047214635876355e-05,1.535538872736194e-12,0.0004266332310502785,0.11956337041113294,0.09918643790648801,0.1404300417098381,0.0002663616398211502,1.5954341897250605e-09,0.01122321599532475
0.1,12209.094909299276,21.854852590947676,5.448318455292102,0.010005565124684252,0.004364725085445806,0.01719537355172991,2.4128048219129664e-05,2.6570388774924505e-13,0.0004259287154720752,0.12149556009397772,0.10089894509478581,0.14356336233943925,0.0002664722236937367,1.2430732613927963e-16,0.011213963788590192
0.11,12478.958006541765,22.39293526220285,5.599772387976714,0.0120957534110687,0.006096186276366457,0.01992082172262353,2.4220395783625788e-05,2.7760416516915156e-10,0.0004250653021354158,0.12344838544362212,0.10264431085499622,0.14569957061703517,0.0002669120155200686,2.622403190694574e-10,0.011437505077265464
0.12,12725.723843629805,22.88628804007519,5.744491855995584,0.014383358333308222,0.007584160737313889,0.025014002991980974,2.4305780906148063e-05,3.0853854186849085e-14,0.0004274650546805469,0.12543448629191203,0.10317444059144625,0.14809432261545474,0.000267439852103926,2.890330835208931e-11,0.011295415134230527
