graph_size,real_fraction,no_edges,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,min_uncertainty,max_uncertainty,centrality_metric,mean_se_value,min_se_value,max_se_value
50,0.0,600,0.0,0.0,0.0,0.0,0.0,degree_centrality,0.0,0.0,0.0
50,0.0,600,0.0,0.0,0.0,0.0,0.0,closeness_centrality,0.0,0.0,0.0
50,0.0,600,0.0,0.0,0.0,0.0,0.0,betweenness_centrality,1.093403702832613e-35,0.0,1.925929944387236e-34
50,0.0,600,0.0,0.0,0.0,0.0,0.0,eigenvector_centrality,1.1873358107147309e-33,0.0,6.933347799794049e-33
50,0.05,639,207.92246714945085,6.543609231388943,2.6907858329868124,3.8073549220576037,12.546894459887637,degree_centrality,0.0012494793835901704,0.00041649312786338664,0.0066638900458142495
50,0.05,639,207.92246714945085,6.543609231388943,2.6907858329868124,3.8073549220576037,12.546894459887637,closeness_centrality,0.00033178039136723907,4.7097270280662475e-05,0.0011752360805580306
50,0.05,639,207.92246714945085,6.543609231388943,2.6907858329868124,3.8073549220576037,12.546894459887637,betweenness_centrality,1.8549099206935955e-06,3.5800802838223707e-10,2.929125031844084e-05
50,0.05,639,207.92246714945085,6.543609231388943,2.6907858329868124,3.8073549220576037,12.546894459887637,eigenvector_centrality,2.2156976259070403e-05,2.3318941610999378e-14,0.00023209624434350013
50,0.1,677,341.63173322121867,11.46094197418588,3.568761753260107,3.9068905956085187,17.444473021980468,degree_centrality,0.004348188254893795,0.0004164931278633889,0.014993752603082049
50,0.1,677,341.63173322121867,11.46094197418588,3.568761753260107,3.9068905956085187,17.444473021980468,closeness_centrality,0.00127209522995619,4.9394364607022134e-05,0.004882546763641456
50,0.1,677,341.63173322121867,11.46094197418588,3.568761753260107,3.9068905956085187,17.444473021980468,betweenness_centrality,4.973188324817585e-06,6.907171017520174e-11,7.660428881487326e-05
50,0.1,677,341.63173322121867,11.46094197418588,3.568761753260107,3.9068905956085187,17.444473021980468,eigenvector_centrality,5.1805727511557286e-05,2.1823440981116735e-08,0.0008136742280202838
50,0.15,706,426.22390532222454,14.69429004399045,4.5733453183016595,6.906890595608519,25.191615609542154,degree_centrality,0.008096626405664309,0.0016659725114535602,0.020408163265306114
50,0.15,706,426.22390532222454,14.69429004399045,4.5733453183016595,6.906890595608519,25.191615609542154,closeness_centrality,0.0026836433229453643,0.00020242580474585058,0.011900826446281
50,0.15,706,426.22390532222454,14.69429004399045,4.5733453183016595,6.906890595608519,25.191615609542154,betweenness_centrality,7.578629357559578e-06,6.966154219157311e-11,0.00010277046095041635
50,0.15,706,426.22390532222454,14.69429004399045,4.5733453183016595,6.906890595608519,25.191615609542154,eigenvector_centrality,6.560089290488102e-05,3.045977190973715e-09,0.0010492962487123985
50,0.2,737,505.85989879554,17.728115581727224,5.150472395500808,9.4093909361377,28.748482026631567,degree_centrality,0.013277800916284879,0.003748438150770514,0.026655560183256998
50,0.2,737,505.85989879554,17.728115581727224,5.150472395500808,9.4093909361377,28.748482026631567,closeness_centrality,0.004413959896649005,0.00046677335771985913,0.019698368728839642
50,0.2,737,505.85989879554,17.728115581727224,5.150472395500808,9.4093909361377,28.748482026631567,betweenness_centrality,1.2824645361274279e-05,4.732878581571491e-10,0.00020366415118184484
50,0.2,737,505.85989879554,17.728115581727224,5.150472395500808,9.4093909361377,28.748482026631567,eigenvector_centrality,7.481475620355218e-05,3.6930505019922326e-10,0.0011364778688515147
50,0.25,764,568.3948864780255,20.061065073791575,5.53831882895848,11.579315937580013,32.936109029807334,degree_centrality,0.01892544773011245,0.006663890045814241,0.04164931278633903
50,0.25,764,568.3948864780255,20.061065073791575,5.53831882895848,11.579315937580013,32.936109029807334,closeness_centrality,0.006296191653906804,0.0008506944444444448,0.02872737719046251
50,0.25,764,568.3948864780255,20.061065073791575,5.53831882895848,11.579315937580013,32.936109029807334,betweenness_centrality,1.934145965053335e-05,4.403868421367412e-09,0.0003157518639248907
50,0.25,764,568.3948864780255,20.061065073791575,5.53831882895848,11.579315937580013,32.936109029807334,eigenvector_centrality,0.00011031724369451792,3.5583849490480355e-08,0.0010996376696908816
50,0.3,789,621.7774411614898,22.062405391358404,5.882462453539719,11.920352855415082,34.39529729936067,degree_centrality,0.024989587671803433,0.0066638900458142495,0.050395668471470235
50,0.3,789,621.7774411614898,22.062405391358404,5.882462453539719,11.920352855415082,34.39529729936067,closeness_centrality,0.008372275220157507,0.0008935148512537083,0.031230421929588813
50,0.3,789,621.7774411614898,22.062405391358404,5.882462453539719,11.920352855415082,34.39529729936067,betweenness_centrality,2.7305767390076513e-05,1.5978627413449522e-09,0.0004241560002904706
50,0.3,789,621.7774411614898,22.062405391358404,5.882462453539719,11.920352855415082,34.39529729936067,eigenvector_centrality,0.00012639636454104283,7.329111981222906e-08,0.0009376923399295454
50,0.35,810,663.7904706214803,23.59468638864606,6.424508149015489,13.505315356136238,37.934058290242575,degree_centrality,0.03113702623906706,0.010412328196584757,0.07038733860891293
50,0.35,810,663.7904706214803,23.59468638864606,6.424508149015489,13.505315356136238,37.934058290242575,closeness_centrality,0.010678059689347558,0.0013630739375812234,0.043964620187304904
50,0.35,810,663.7904706214803,23.59468638864606,6.424508149015489,13.505315356136238,37.934058290242575,betweenness_centrality,3.4662648768037686e-05,5.2476802828563426e-09,0.0005172597466706379
50,0.35,810,663.7904706214803,23.59468638864606,6.424508149015489,13.505315356136238,37.934058290242575,eigenvector_centrality,0.0001593442866181306,1.4026306442474194e-08,0.0013550353661992167
