fraction,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,min_uncertainty,max_uncertainty,number_contacts
0.0,0.0,0.0,0.0,0.0,0.0,1576
0.0,0.0,0.0,0.0,0.0,0.0,1470
0.0,0.0,0.0,0.0,0.0,0.0,1551
0.0,0.0,0.0,0.0,0.0,0.0,1602
0.0,0.0,0.0,0.0,0.0,0.0,1404
0.0,0.0,0.0,0.0,0.0,0.0,1442
0.0,0.0,0.0,0.0,0.0,0.0,1684
0.0,0.0,0.0,0.0,0.0,0.0,1334
0.0,0.0,0.0,0.0,0.0,0.0,1783
0.0,0.0,0.0,0.0,0.0,0.0,1523
0.05,34872.29931109908,11.82915560001578,11.777648473392741,4.392317422778761,162.46221033148885,1305
0.05,34872.29931109908,11.82915560001578,11.777648473392741,4.392317422778761,162.46221033148885,1395
0.05,34872.29931109908,11.82915560001578,11.777648473392741,4.392317422778761,162.46221033148885,1526
0.05,34872.29931109908,11.82915560001578,11.777648473392741,4.392317422778761,162.46221033148885,1607
0.05,34872.29931109908,11.82915560001578,11.777648473392741,4.392317422778761,162.46221033148885,1621
0.05,34872.29931109908,11.82915560001578,11.777648473392741,4.392317422778761,162.46221033148885,1493
0.05,34872.29931109908,11.82915560001578,11.777648473392741,4.392317422778761,162.46221033148885,1512
0.05,34872.29931109908,11.82915560001578,11.777648473392741,4.392317422778761,162.46221033148885,1385
0.05,34872.29931109908,11.82915560001578,11.777648473392741,4.392317422778761,162.46221033148885,1519
0.05,34872.29931109908,11.82915560001578,11.777648473392741,4.392317422778761,162.46221033148885,1337
0.1,54267.05134785377,19.232061383815637,18.834268706876518,7.851749041416057,272.27275433540274,1418
0.1,54267.05134785377,19.232061383815637,18.834268706876518,7.851749041416057,272.27275433540274,1281
0.1,54267.05134785377,19.232061383815637,18.834268706876518,7.851749041416057,272.27275433540274,1513
0.1,54267.05134785377,19.232061383815637,18.834268706876518,7.851749041416057,272.27275433540274,1415
0.1,54267.05134785377,19.232061383815637,18.834268706876518,7.851749041416057,272.27275433540274,1485
0.1,54267.05134785377,19.232061383815637,18.834268706876518,7.851749041416057,272.27275433540274,1392
0.1,54267.05134785377,19.232061383815637,18.834268706876518,7.851749041416057,272.27275433540274,1202
0.1,54267.05134785377,19.232061383815637,18.834268706876518,7.851749041416057,272.27275433540274,1693
0.1,54267.05134785377,19.232061383815637,18.834268706876518,7.851749041416057,272.27275433540274,1331
0.1,54267.05134785377,19.232061383815637,18.834268706876518,7.851749041416057,272.27275433540274,1499
0.15,69986.10798222607,25.320922172596614,24.677400681117867,10.790348496751914,350.79164284240056,1598
0.15,69986.10798222607,25.320922172596614,24.677400681117867,10.790348496751914,350.79164284240056,1646
0.15,69986.10798222607,25.320922172596614,24.677400681117867,10.790348496751914,350.79164284240056,1966
0.15,69986.10798222607,25.320922172596614,24.677400681117867,10.790348496751914,350.79164284240056,1429
0.15,69986.10798222607,25.320922172596614,24.677400681117867,10.790348496751914,350.79164284240056,1570
0.15,69986.10798222607,25.320922172596614,24.677400681117867,10.790348496751914,350.79164284240056,1429
0.15,69986.10798222607,25.320922172596614,24.677400681117867,10.790348496751914,350.79164284240056,1509
0.15,69986.10798222607,25.320922172596614,24.677400681117867,10.790348496751914,350.79164284240056,1454
0.15,69986.10798222607,25.320922172596614,24.677400681117867,10.790348496751914,350.79164284240056,1380
0.15,69986.10798222607,25.320922172596614,24.677400681117867,10.790348496751914,350.79164284240056,1484
0.2,83484.64813827685,30.580986418345507,29.920575571849966,13.37531099747307,424.9535190928372,1527
0.2,83484.64813827685,30.580986418345507,29.920575571849966,13.37531099747307,424.9535190928372,1436
0.2,83484.64813827685,30.580986418345507,29.920575571849966,13.37531099747307,424.9535190928372,1315
0.2,83484.64813827685,30.580986418345507,29.920575571849966,13.37531099747307,424.9535190928372,1894
0.2,83484.64813827685,30.580986418345507,29.920575571849966,13.37531099747307,424.9535190928372,1278
0.2,83484.64813827685,30.580986418345507,29.920575571849966,13.37531099747307,424.9535190928372,1504
0.2,83484.64813827685,30.580986418345507,29.920575571849966,13.37531099747307,424.9535190928372,1482
0.2,83484.64813827685,30.580986418345507,29.920575571849966,13.37531099747307,424.9535190928372,1238
0.2,83484.64813827685,30.580986418345507,29.920575571849966,13.37531099747307,424.9535190928372,1253
0.2,83484.64813827685,30.580986418345507,29.920575571849966,13.37531099747307,424.9535190928372,1492
0.25,95598.96587378297,35.31981182264714,34.57764716108274,15.697239092360434,493.41042447584454,1642
0.25,95598.96587378297,35.31981182264714,34.57764716108274,15.697239092360434,493.41042447584454,1267
0.25,95598.96587378297,35.31981182264714,34.57764716108274,15.697239092360434,493.41042447584454,1188
0.25,95598.96587378297,35.31981182264714,34.57764716108274,15.697239092360434,493.41042447584454,1811
0.25,95598.96587378297,35.31981182264714,34.57764716108274,15.697239092360434,493.41042447584454,1556
0.25,95598.96587378297,35.31981182264714,34.57764716108274,15.697239092360434,493.41042447584454,1351
0.25,95598.96587378297,35.31981182264714,34.57764716108274,15.697239092360434,493.41042447584454,1606
0.25,95598.96587378297,35.31981182264714,34.57764716108274,15.697239092360434,493.41042447584454,1461
0.25,95598.96587378297,35.31981182264714,34.57764716108274,15.697239092360434,493.41042447584454,1437
0.25,95598.96587378297,35.31981182264714,34.57764716108274,15.697239092360434,493.41042447584454,1753
0.3,106505.02695225661,39.59609341778792,38.85083969747057,17.812716309780367,555.2827139498653,1671
0.3,106505.02695225661,39.59609341778792,38.85083969747057,17.812716309780367,555.2827139498653,1360
